Predictor,b,Seed,Dataset,Result
REC,3,6068579,dracula,7411.014989635007
HLL,4,6068579,dracula,14531.616947232947
REC,4,6068579,dracula,3123.1915361559672
HLL,5,6068579,dracula,14361.338105004605
REC,5,6068579,dracula,6170.45269952566
HLL,6,6068579,dracula,11542.285056947056
REC,6,6068579,dracula,8721.927781076707
HLL,7,6068579,dracula,10242.259706480878
REC,7,6068579,dracula,9539.832920102688
HLL,8,6068579,dracula,9478.148640381189
REC,8,6068579,dracula,9801.632324376693
HLL,9,6068579,dracula,8937.026826532569
REC,9,6068579,dracula,9860.310445930267
HLL,10,6068579,dracula,8782.612545502834
REC,10,6068579,dracula,10011.690712711183
HLL,11,6068579,dracula,9210.229823188785
REC,11,6068579,dracula,9553.526946639593
HLL,12,6068579,dracula,9309.228452590927
REC,12,6068579,dracula,9470.501703733325
HLL,13,6068579,dracula,9338.746884293809
REC,13,6068579,dracula,9419.800331769888
HLL,14,6068579,dracula,9458.79744084976
REC,14,6068579,dracula,10713.903163643017
HLL,15,6068579,dracula,9428.09951056076
REC,15,6068579,dracula,16071.696938099067
HLL,16,6068579,dracula,9431.20134607483
REC,16,6068579,dracula,27837.932418028387
HLL,2,729458,dracula,10636.765797541699
REC,2,729458,dracula,12324.95164407831
HLL,3,729458,dracula,12341.67360249334
REC,3,729458,dracula,13355.691684660569
HLL,4,729458,dracula,11860.363831932775
REC,4,729458,dracula,11855.985899345133
HLL,5,729458,dracula,10275.676231985939
REC,5,729458,dracula,8394.12216468124
HLL,6,729458,dracula,8223.329515381956
REC,6,729458,dracula,10669.782096260666
HLL,7,729458,dracula,9618.473150116079
REC,7,729458,dracula,11588.90314898268
HLL,8,729458,dracula,9557.105806897041
REC,8,729458,dracula,10391.979814377459
HLL,9,729458,dracula,9756.31633539065
REC,9,729458,dracula,9049.00562514537
HLL,10,729458,dracula,9488.037601510288
REC,10,729458,dracula,8887.611680984264
HLL,11,729458,dracula,9481.475131422636
REC,11,729458,dracula,9237.059793241047
HLL,12,729458,dracula,9309.228452590927
REC,12,729458,dracula,9394.509028240791
HLL,13,729458,dracula,9338.746884293809
REC,13,729458,dracula,9437.065080168019
HLL,14,729458,dracula,9458.79744084976
REC,14,729458,dracula,10713.903163643017
HLL,15,729458,dracula,9428.09951056076
REC,15,729458,dracula,16071.696938099067
HLL,16,729458,dracula,9431.20134607483
REC,16,729458,dracula,27837.932418028387
HLL,2,2075370,dracula,12250.054183287099
REC,2,2075370,dracula,9859.761315262647
HLL,3,2075370,dracula,10387.925954753284
REC,3,2075370,dracula,48794.1489555845
HLL,4,2075370,dracula,10371.860253071536
REC,4,2075370,dracula,13384.42548793259
HLL,5,2075370,dracula,9250.21693481324
REC,5,2075370,dracula,12143.9172205319
HLL,6,2075370,dracula,10289.484611598062
REC,6,2075370,dracula,10836.513066514739
HLL,7,2075370,dracula,10050.376395064146
REC,7,2075370,dracula,12237.77614561492
HLL,8,2075370,dracula,9537.468269879802
REC,8,2075370,dracula,10191.349178436227
HLL,9,2075370,dracula,9566.056779240276
REC,9,2075370,dracula,9745.534093887287
HLL,10,2075370,dracula,9231.072614421068
REC,10,2075370,dracula,10100.037420085631
HLL,11,2075370,dracula,9474.341518762132
REC,11,2075370,dracula,9544.203183402022
HLL,12,2075370,dracula,9309.228452590927
REC,12,2075370,dracula,9516.856691577686
HLL,13,2075370,dracula,9338.746884293809
REC,13,2075370,dracula,9441.674354280392
HLL,14,2075370,dracula,9458.79744084976
REC,14,2075370,dracula,10713.903163643017
HLL,15,2075370,dracula,9428.09951056076
REC,15,2075370,dracula,16071.696938099067
HLL,16,2075370,dracula,9431.20134607483
REC,16,2075370,dracula,27837.932418028387
HLL,2,8628342,dracula,8759.689480328458
REC,2,8628342,dracula,2583.9394142282113
HLL,3,8628342,dracula,7166.133059512262
REC,3,8628342,dracula,4112.141749739368
HLL,4,8628342,dracula,7906.909221288516
REC,4,8628342,dracula,2939.4155634409103
HLL,5,8628342,dracula,8370.593809591983
REC,5,8628342,dracula,5455.718605925536
HLL,6,8628342,dracula,9708.26047255662
REC,6,8628342,dracula,6011.583117275146
HLL,7,8628342,dracula,9706.484051494725
REC,7,8628342,dracula,7436.63034197907
HLL,8,8628342,dracula,9048.175374602313
REC,8,8628342,dracula,9137.30963279764
HLL,9,8628342,dracula,9365.14864217283
REC,9,8628342,dracula,9575.86949072183
HLL,10,8628342,dracula,8815.46885672817
REC,10,8628342,dracula,9214.492654840386
HLL,11,8628342,dracula,9256.93883516899
REC,11,8628342,dracula,9219.0387114676
HLL,12,8628342,dracula,9309.228452590927
REC,12,8628342,dracula,9310.029931494688
HLL,13,8628342,dracula,9338.746884293809
REC,13,8628342,dracula,9433.609601163953
HLL,14,8628342,dracula,9458.79744084976
REC,14,8628342,dracula,10713.903163643017
HLL,15,8628342,dracula,9428.09951056076
REC,15,8628342,dracula,16071.696938099067
HLL,16,8628342,dracula,9431.20134607483
REC,16,8628342,dracula,27837.932418028387
HLL,2,880786,dracula,13236.864103607448
REC,2,880786,dracula,4037.9678347315803
HLL,3,880786,dracula,11248.107587082537
REC,3,880786,dracula,5855.406905390622
HLL,4,880786,dracula,12643.971296752521
REC,4,880786,dracula,6085.336746439085
HLL,5,880786,dracula,10087.31468794479
REC,5,880786,dracula,6562.195302522894
HLL,6,880786,dracula,10954.972561100558
REC,6,880786,dracula,8071.2641245796285
HLL,7,880786,dracula,9458.67266143415
REC,7,880786,dracula,9175.722251182775
HLL,8,880786,dracula,9385.299398602103
REC,8,880786,dracula,9208.842116342945
HLL,9,880786,dracula,9541.518790336377
REC,9,880786,dracula,9227.32520299495
HLL,10,880786,dracula,9051.982092233411
REC,10,880786,dracula,9562.725223964599
HLL,11,880786,dracula,9331.400639844134
REC,11,880786,dracula,9474.56436376307
HLL,12,880786,dracula,9309.228452590927
REC,12,880786,dracula,9385.339323881895
HLL,13,880786,dracula,9338.746884293809
REC,13,880786,dracula,9440.521824760768
HLL,14,880786,dracula,9458.79744084976
REC,14,880786,dracula,10713.903163643017
HLL,15,880786,dracula,9428.09951056076
REC,15,880786,dracula,16071.696938099067
HLL,16,880786,dracula,9431.20134607483
REC,16,880786,dracula,27837.932418028387
HLL,2,9069474,dracula,15273.304734931671
REC,2,9069474,dracula,846.0329472543003
HLL,3,9069474,dracula,13957.075906484615
REC,3,9069474,dracula,2027.8901888331475
HLL,4,9069474,dracula,16827.222605067065
REC,4,9069474,dracula,3123.1915361559672
HLL,5,9069474,dracula,9080.737372937294
REC,5,9069474,dracula,6767.295155726734
HLL,6,9069474,dracula,8824.627361431816
REC,6,9069474,dracula,7469.134997372657
HLL,7,9069474,dracula,8583.964011696176
REC,7,9069474,dracula,10804.929777295905
HLL,8,9069474,dracula,9453.344868371183
REC,8,9069474,dracula,10555.324109996702
HLL,9,9069474,dracula,9214.337937891583
REC,9,9069474,dracula,10702.494859945446
HLL,10,9069474,dracula,9372.310925019205
REC,10,9069474,dracula,9442.136688514456
HLL,11,9069474,dracula,9193.893766593561
REC,11,9069474,dracula,9483.820103737648
HLL,12,9069474,dracula,9309.228452590927
REC,12,9069474,dracula,9385.339323881895
HLL,13,9069474,dracula,9338.746884293809
REC,13,9069474,dracula,9417.500752762948
HLL,14,9069474,dracula,9458.79744084976
REC,14,9069474,dracula,10713.903163643017
HLL,15,9069474,dracula,9428.09951056076
REC,15,9069474,dracula,16071.696938099067
HLL,16,9069474,dracula,9431.20134607483
REC,16,9069474,dracula,27837.932418028387
HLL,2,6920074,dracula,4963.824038852793
REC,2,6920074,dracula,6309.887241768094
HLL,3,6920074,dracula,8127.443591885858
REC,3,6920074,dracula,11871.614830809394
HLL,4,6920074,dracula,8553.838157575758
REC,4,6920074,dracula,12597.047518054203
HLL,5,6920074,dracula,7890.49902294197
REC,5,6920074,dracula,8656.469732327527
HLL,6,6920074,dracula,8122.257524069648
REC,6,6920074,dracula,8858.22352765603
HLL,7,6920074,dracula,9042.28883030127
REC,7,6920074,dracula,9104.584869390661
HLL,8,6920074,dracula,9301.677936234862
REC,8,6920074,dracula,9839.923856893789
HLL,9,6920074,dracula,9150.564263560758
REC,9,6920074,dracula,10035.0142283219
HLL,10,6920074,dracula,9072.051384254746
REC,10,6920074,dracula,9789.410461718177
