Predictor,b,Seed,Dataset,Result
KMV,8,60340,dracula,9286.242786260507
MinCount,8,60340,dracula,8916.916376937104
REC,8,60340,dracula,9612.398015038667
AdaptiveSampling,9,60340,dracula,9152.0
PCSA,9,60340,dracula,9199.0
LogLog,9,60340,dracula,8782.552397676125
HLL,9,60340,dracula,9107.398895499058
KMV,9,60340,dracula,9185.539035974389
MinCount,9,60340,dracula,9515.887958091887
REC,9,60340,dracula,9726.535002086337
AdaptiveSampling,2,60340,iliad,2048.0
PCSA,2,60340,iliad,7488.0
LogLog,2,60340,iliad,2556.0349372971814
HLL,2,60340,iliad,3877.1578430243735
KMV,2,60340,iliad,3239.236436395468
MinCount,2,60340,iliad,3951.0264890975677
REC,2,60340,iliad,4037.9678347315803
AdaptiveSampling,3,60340,iliad,5120.0
PCSA,3,60340,iliad,7488.0
LogLog,3,60340,iliad,3457.3396721008917
HLL,3,60340,iliad,4685.70199777792
KMV,3,60340,iliad,3851.032385808623
MinCount,3,60340,iliad,6325.836409026879
REC,3,60340,iliad,6587.45776856445
AdaptiveSampling,4,60340,iliad,6144.0
PCSA,4,60340,iliad,8905.0
LogLog,4,60340,iliad,5649.588287858324
HLL,4,60340,iliad,7930.321660438891
KMV,4,60340,iliad,6068.888979322382
MinCount,4,60340,iliad,9067.54644329204
REC,4,60340,iliad,4774.735024899509
AdaptiveSampling,5,60340,iliad,7936.0
PCSA,5,60340,iliad,7017.0
LogLog,5,60340,iliad,6333.091822361956
HLL,5,60340,iliad,7838.9926312122625
KMV,5,60340,iliad,7861.918875267902
MinCount,5,60340,iliad,8669.8115232632
REC,5,60340,iliad,6562.195302522894
AdaptiveSampling,6,60340,iliad,7680.0
PCSA,6,60340,iliad,7249.0
LogLog,6,60340,iliad,7153.183699574882
HLL,6,60340,iliad,8234.286091921202
KMV,6,60340,iliad,7210.185870326304
MinCount,6,60340,iliad,8427.607632193773
REC,6,60340,iliad,7129.636572603579
AdaptiveSampling,7,60340,iliad,8128.0
PCSA,7,60340,iliad,8166.0
LogLog,7,60340,iliad,7601.654015884782
HLL,7,60340,iliad,8274.614206211769
KMV,7,60340,iliad,7981.915625929903
MinCount,7,60340,iliad,8390.424437081705
REC,7,60340,iliad,8963.960188696386
AdaptiveSampling,8,60340,iliad,8128.0
PCSA,8,60340,iliad,8367.0
LogLog,8,60340,iliad,7857.424973902906
HLL,8,60340,iliad,8130.00119771892
KMV,8,60340,iliad,8188.896886682898
MinCount,8,60340,iliad,8700.826108945206
REC,8,60340,iliad,7909.774818461709
AdaptiveSampling,9,60340,iliad,8224.0
PCSA,9,60340,iliad,8785.0
LogLog,9,60340,iliad,8285.885611634614
HLL,9,60340,iliad,8533.54216670998
